"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
12 10.666558 323.53805 1513.0786 0.073710002 0.30999962 0.392614986315348
13 10.544488 385.34621 1814.7913 0.065972855 0.34806589 0.329410246941758
14 8.9335591 319.65671 1609.9754 0.065137274 0.33089136 0.449400321803089
15 8.1096166 255.00806 1599.4472 0.072535068 0.28006512 0.333766008403689
68 3.549396 191.86738 1120.4534 0.037102413 0.28572262 0.890727839427979
69 3.8297983 237.96345 1246.7235 0.036465754 0.34018368 1.05826871261518
108 10.219162 327.39305 1275.5768 0.070164191 0.27331524 0.359220445163319
109 9.7056213 398.95792 1925.533 0.059913604 0.33847655 0.382863190486022
110 8.8814832 336.94455 1715.1574 0.064253358 0.33165826 0.329273250922972
205 9.1941497 356.06361 1714.6842 0.060403871 0.3359203 0.407288842882499
206 8.7806989 298.52086 1695.5838 0.070291621 0.297025 0.344570997245604
302 8.0618205 281.72625 1385.3932 0.070148384 0.28125851 0.424133723291863
304 7.075668 267.47743 1241.6166 0.064350934 0.30361837 0.420516265433286
305 6.4191929 219.35663 1140.8319 0.078488949 0.26357093 0.366346186299784
396 9.1261952 303.77431 1604.5827 0.067121724 0.3009336 0.428216812381426
397 8.1868528 328.94299 1471.4626 0.061268543 0.34313259 0.479190405077714
398 8.0086627 306.51562 1589.6725 0.061743816 0.3267608 0.426908679647615
399 7.1595479 287.74195 1512.7321 0.058156812 0.31148633 0.476994394396162
400 7.1214686 341.49455 1524.4341 0.054901242 0.35588995 0.630567723908006
401 6.7426761 304.96523 1510.5648 0.053124098 0.31991312 0.580007940044891
491 9.8260046 298.04369 1506.6857 0.07260046 0.28910221 0.252189367679289
492 9.693653 377.79224 1663.8331 0.05969966 0.37063527 0.432212527692737
493 8.0754412 313.03868 1578.4998 0.056881293 0.3212515 0.502137522923891
494 7.5427526 284.99071 1534.3104 0.059907997 0.31915136 0.429068330180266
495 7.661229 147.70932 1449.5345 0.06431801 0.17211836 0.356886391464409
496 7.0618891 254.34095 1308.9874 0.05796709 0.30054369 0.804198278714502
497 6.9716957 282.04667 1453.7305 0.05130608 0.31008754 0.687788321389945
498 6.1370249 264.50582 1372.2624 0.051941842 0.30439954 0.539421521003433
499 5.8045548 197.49154 1085.9459 0.060411904 0.26483885 0.463549581873702
587 10.089842 344.70817 1500.612 0.063242361 0.34729014 0.312889022606314
588 9.3859134 349.47634 1743.2151 0.061148267 0.32494399 0.485122256281053
589 8.0471303 272.96803 1595.9799 0.058661862 0.28592579 0.431369982313066
590 7.1581153 216.12346 1423.9354 0.059837074 0.25590005 0.381688840757515
591 7.3450149 291.38838 1412.2921 0.037743653 0.32440905 0.548816699994166
592 6.9292947 266.06204 1373.364 0.053771221 0.30436172 0.679201178835156
593 6.7112504 277.48544 1422.6589 0.049981709 0.30971839 0.776290595729347
594 6.222872 295.63816 1424.418 0.045477463 0.32878353 0.669579618827482
595 5.7161045 234.6174 1206.6887 0.049752967 0.31536898 0.508356722988854
683 10.12397 294.95806 1484.1639 0.0730208 0.29250495 0.305176488425725
684 9.0644652 267.31652 1515.9792 0.071603722 0.26940904 0.548101742602392
685 8.7148547 296.18472 1648.0904 0.066761077 0.30642882 0.384475536699309
686 7.1130083 213.43677 1402.8426 0.058524236 0.25158226 0.384156357093247
687 6.9728674 257.63523 1383.8223 0.056924982 0.28796692 0.586063989253074
688 8.0240243 242.91194 1663.9418 0.077673222 0.25937275 0.277516986279381
689 6.4771732 260.14636 1329.3809 0.051927114 0.31014915 0.671575954989976
690 6.3265222 250.73048 1386.328 0.051414534 0.28954911 0.599879048937252
779 9.9038517 289.60199 1290.8597 0.075336514 0.26930553 0.268461172126306
780 8.8956149 344.59695 1471.9092 0.058080306 0.34411043 0.512984818975776
781 9.1673772 309.0319 1510.9736 0.069689049 0.30301436 0.468420659689075
782 7.3067495 283.51649 1385.8859 0.056598491 0.30377287 0.763976129553861
783 8.1895928 262.6819 1614.9338 0.073424124 0.28341594 0.334159032578669
784 6.8536388 278.65031 1460.5573 0.054498995 0.30415167 0.610362046096193
785 6.2297202 283.00453 1382.6515 0.047780424 0.33603375 0.504093538340593
875 10.012778 304.99202 1295.9994 0.07293017 0.27218303 0.414067831728335
876 10.389186 318.58399 1590.7774 0.06922476 0.30375376 0.404522426529001
877 7.962241 273.16367 1440.871 0.065502031 0.29125396 0.497422661382506
878 7.8731302 178.8043 1323.8932 0.076188209 0.19129752 0.587428010635663
879 8.1970709 318.8855 1607.9209 0.066405509 0.31975555 0.373966900083007
880 7.6419584 277.91356 1574.6762 0.055222154 0.30875175 0.291048346219158
881 5.6744727 199.02561 1077.5286 0.054947895 0.29438661 0.623571831410776
972 10.329991 395.7109 1901.1248 0.053606047 0.35846258 0.390137454842905
973 7.7144911 278.58358 1621.9291 0.063837944 0.2837748 0.407986636387188
974 7.9253708 301.01877 1357.1539 0.055102451 0.32575123 0.533908127522413
975 7.6422883 332.29491 1640.1678 0.058488408 0.32385815 0.469399668408183
976 7.8150523 143.45089 1967.1142 0.14935194 0.27889342 0.0650508268201595
977 5.5453933 246.14662 1324.4536 0.052206294 0.30229641 0.270192170157269
