EP_Plotid,Plotid,Exploratory,Type,13c_CO2,14c_CO2
AEG22,A45310,A,G,-20,73.05
AEG23,A45122,A,G,-28.61,61.24
AEG21,A21850,A,G,-28.23,71.56
AEG19,A35463,A,G,-23.35,69.18
AEG20,A21699,A,G,-28.01,15.98
AEG18,A46500,A,G,-27.97,52.31
AEG16,A36692,A,G,-28.17,45.36
AEG17,A46114,A,G,-28.11,25.51
AEG14,A46088,A,G,-28.18,44.86
AEG15,A35767,A,G,-28.28,43.97
AEG12,A20771,A,G,-27.35,21.93
AEG13,A22610,A,G,-27.36,24.02
AEG11,A20470,A,G,-28.5,41.59
AEG10,A2277,A,G,-28.57,67.89
AEG9,A43687,A,G,-28.31,59.26
AEG8,A42131,A,G,-28.76,54.39
AEG7,A24854,A,G,-27.54,50.62
AEG6,A34651,A,G,-27.62,54.39
AEG5,A34237,A,G,-27.52,30.17
AEG4,A31160,A,G,-28.02,69.68
AEG2,A39275,A,G,-27.66,41.29
AEG3,A48112,A,G,-25.54,47.64
AEG1,A19557,A,G,-28.94,38.11
AEG24,A42306,A,G,-27.64,41.69
AEG25,A7116,A,G,-27.76,60.15
AEG26,A28932,A,G,-27.33,46.05
AEG27,A40320,A,G,-27.54,61.14
AEG28,A42175,A,G,-28.12,59.45
AEG29,A22026,A,G,-27.11,38.21
AEG30,A36956,A,G,-22.1,37.52
AEG31,A37367,A,G,NA,42.18
AEG32,A41172,A,G,NA,17.27
AEG33,A41959,A,G,-28.14,44.46
AEG34,A43366,A,G,-27.11,48.24
AEG35,A11495,A,G,-28.21,55.19
AEG36,A13124,A,G,-27.35,25.31
AEG37,A30361,A,G,NA,34.54
AEG38,A32042,A,G,-28.17,74.94
AEG39,A32195,A,G,-27.52,52.21
AEG40,A53417,A,G,-28.78,48.34
AEG41,A28088,A,G,-26.74,28.09
AEG42,A24657,A,G,-26.71,66.8
AEG43,A49542,A,G,-28.57,50.02
AEG44,A33605,A,G,-28.76,61.14
AEG45,A37099,A,G,-26.76,70.57
AEG46,A33626,A,G,-27.99,41.39
AEG47,A35283,A,G,-28.3,59.16
AEG48,A43134,A,G,-27.23,59.55
AEG49,A43953,A,G,-27.85,54.29
AEG50,A38525,A,G,-25.46,68.78
AEW1,A18422,A,F,-27.61,57.67
AEW2,A20965,A,F,-26.6,145.22
AEW3,A21613,A,F,-24.42,-56.39
AEW4,A5276,A,F,-26.48,31.26
AEW5,A30591,A,F,NA,NA
AEW6,A35255,A,F,-27.73,98.56
AEW7,A7321,A,F,-27.45,110.18
AEW8,A25660,A,F,-24.45,-55.99
AEW9,A30535,A,F,-25.27,-20.26
AEW10,A27281,A,F,-26.47,113.55
AEW11,A16193,A,F,-26.24,125.07
AEW12,A5863,A,F,-26.37,123.78
AEW13,A28098,A,F,-24.93,125.96
AEW14,A18920,A,F,-26.48,58.46
AEW15,A29334,A,F,-24.28,-4.18
AEW16,A35042,A,F,-25.54,24.02
AEW17,A5149,A,F,-25.52,-31.97
AEW18,A4246,A,F,-27.04,101.94
AEW19,A14961,A,F,-27.71,65.21
AEW20,A16058,A,F,-26.07,42.08
AEW21,A16389,A,F,NA,84.17
AEW22,A36262,A,F,-27.24,85.76
AEW23,A41483,A,F,-26.78,106.51
AEW24,A12513,A,F,-24.48,84.67
AEW25,A31470,A,F,-26.99,102.73
AEW26,A34057,A,F,-27.53,97.57
AEW27,A39499,A,F,-25.9,99.85
AEW28,A13956,A,F,-25.14,98.17
AEW29,A21785,A,F,-26.05,135.49
AEW30,A24017,A,F,-26.64,47.24
AEW31,A6692,A,F,-23.65,10.02
AEW32,A23243,A,F,-26.18,75.53
AEW33,A41892,A,F,-23.12,95.49
AEW34,A42708,A,F,-23.11,121.49
AEW35,A30620,A,F,-25.6,92.31
AEW36,A3271,A,F,NA,NA
AEW37,A34233,A,F,-27.17,92.81
AEW38,A35243,A,F,-26.47,105.02
AEW39,A4506,A,F,-23.48,34.24
AEW40,A20690,A,F,-26.12,128.34
AEW41,A28898,A,F,-26.59,95.88
AEW42,A36277,A,F,-26.86,75.24
AEW43,A25044,A,F,-27.6,113.55
AEW44,A3277,A,F,-26.26,99.06
AEW45,A43486,A,F,-27.48,78.12
AEW46,A22196,A,F,-26.01,105.61
AEW47,A29568,A,F,-25.49,104.52
AEW48,A39288,A,F,-22.82,85.86
AEW49,A39748,A,F,-25.76,93.9
AEW50,A6296,A,F,-26.11,108.99
HEG1,H4580,H,G,-27.94,33.55
HEG2,H8302,H,G,-27.34,47.44
HEG3,H8709,H,G,-28.41,47.84
HEG4,H20510,H,G,-22.99,57.77
HEG5,H20816,H,G,-28.34,47.14
HEG6,H30409,H,G,-28.19,45.66
HEG7,H12850,H,G,NA,NA
HEG8,H14707,H,G,-25.72,67.3
HEG9,H30212,H,G,-28.37,47.05
HEG10,H22151,H,G,-27.82,31.16
HEG11,H24761,H,G,-27.99,61.94
HEG12,H20116,H,G,-24.73,72.36
HEG13,H4651,H,G,-26.22,18.46
HEG14,H19568,H,G,-27.64,28.38
HEG15,H16781,H,G,-28.41,35.53
HEG16,H12643,H,G,-28.41,24.81
HEG17,H14529,H,G,-28.46,41.29
HEG18,H16581,H,G,-26.5,46.95
HEG19,H20606,H,G,-28.34,37.81
HEG20,H30205,H,G,-21.99,64.32
HEG21,H30909,H,G,-28.67,59.95
HEG22,H37447,H,G,-24.4,74.94
HEG23,H20426,H,G,-27.89,66.3
HEG24,H20438,H,G,-27.21,54.99
HEG25,H37029,H,G,-27.86,63.62
HEG26,H2815,H,G,-27.7,66.8
HEG27,H20121,H,G,-27.93,70.67
HEG28,H20535,H,G,-27.64,53.99
HEG29,H20537,H,G,-26.96,44.76
HEG30,H20825,H,G,-27.04,55.38
HEG31,H20003,H,G,-27.66,48.14
HEG32,H20106,H,G,-27.36,65.51
HEG33,H20508,H,G,-26.42,70.07
HEG34,H30402,H,G,-27.28,52.6
HEG35,H30417,H,G,-27.3,54.69
HEG36,H20241,H,G,-27.54,53.4
HEG37,H20245,H,G,-27.44,61.54
HEG38,H20433,H,G,NA,NA
HEG39,H20436,H,G,NA,NA
HEG40,H30615,H,G,-27.46,36.13
HEG41,H888,H,G,-27.95,57.67
HEG42,H13708,H,G,-26.33,60.45
HEG43,H19577,H,G,-27.37,53.1
HEG44,H20215,H,G,-27.2,53.3
HEG45,H20258,H,G,-28.21,40.1
HEG46,H30915,H,G,-27.28,55.09
