EP_Plotid,Plotid,Exploratory,Type,14C_SOM
HEW9,H71310,H,F,30
HEW8,H311,H,F,-54.6
HEW7,H71011,H,F,47.2
HEW6,H150,H,F,28.2
HEW5,H154,H,F,25.9
HEW4,H307,H,F,43.1
HEW3,H303,H,F,88.3
HEW2,H301,H,F,121.1
HEW1,H274,H,F,45.8
HEG9,H30212,H,G,99
HEG8,H14707,H,G,104.2
HEG7,H12850,H,G,84
HEG6,H30409,H,G,31.4
HEG5,H20816,H,G,26.9
HEG4,H20510,H,G,69.8
HEG1,H4580,H,G,77.9
HEG2,H8302,H,G,52.4
HEG3,H8709,H,G,19.1
HEW10,H1363,H,F,46.3
HEW12,H22701,H,F,40
SEG2,S573,S,G,-37.5
HEW11,H8568,H,F,43.8
SEG1,S1029,S,G,-81.2
SEG3,S526,S,G,9.1
SEG4,S712,S,G,-42.5
SEG5,S667,S,G,-44.4
SEG6,S1012,S,G,-36.9
SEG7,S570,S,G,-56.8
SEG8,S652,S,G,-94.5
SEW1,S5110,S,F,75.8
SEG9,S990,S,G,-111.9
SEW2,S5090,S,F,122.1
SEW3,S5112,S,F,131.9
SEW4,S467,S,F,76.4
SEW5,S219,S,F,51.8
SEW6,S5111,S,F,68.9
SEW7,S5106,S,F,68.7
SEW8,S5113,S,F,89.1
SEW9,S5114,S,F,62.8
AEW9,A30535,A,F,63.5
AEW8,A25660,A,F,90.6
AEG1,A19557,A,G,64.1
AEG2,A39275,A,G,71.4
AEG3,A48112,A,G,75.6
AEG4,A31160,A,G,42
AEG5,A34237,A,G,66.7
AEG6,A34651,A,G,62.3
AEG7,A24854,A,G,-123.5
AEG8,A42131,A,G,54.1
AEG9,A43687,A,G,54.9
AEW1,A18422,A,F,11.6
AEW2,A20965,A,F,90.1
AEW3,A21613,A,F,73.5
AEW4,A5276,A,F,38.9
AEW5,A30591,A,F,64.4
AEW6,A35255,A,F,44.3
AEW7,A7321,A,F,72
