"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
21 8.4876897 24.867804 673.63606 0.43001207 0.23004926 0.000106719784365904
23 7.019743 46.223008 1283.7571 0.21315655 0.30465249 7.73476493691318e-05
215 6.9309935 47.622236 1355.6799 0.20225978 0.29259007 8.85246859277204e-05
408 5.3564561 46.131487 1391.5173 0.18010688 0.36351216 0.000113329504173895
600 5.2787341 38.690609 1338.0507 0.18931066 0.31949111 0.000122678581819217
793 4.8145331 41.163166 1400.8945 0.17898135 0.30586351 8.94365338160665e-05
796 3.3042484 33.638408 823.07142 0.22979031 0.44551731 0.000229254765818078
985 5.3820642 33.995993 1088.6148 0.2239689 0.26935375 0.00011776197888793
988 4.4647811 46.57495 1436.6334 0.16531665 0.39762614 0.000396852782122261
1177 5.1511555 37.354223 1244.8264 0.19183215 0.25693716 0.000120753992239556
1180 3.2980306 44.706733 1362.1483 0.1654131 0.32715873 0.000739294988503331
1369 4.9593911 67.263674 1381.5313 0.11177415 0.32572265 9.41862209660003e-05
1370 1.8355098 45.983635 1327.1686 0.16217764 0.31361133 0.000398951439727808
1371 3.2579782 35.345639 447.69686 0.20623348 0.49720813 0.00071965690943129
1562 3.5230436 50.865595 1340.0706 0.14054882 0.35523654 0.000660640791945543
1563 2.7690598 68.287051 1411.3275 0.09967933 0.31013945 0.00135024891041969
1946 2.5990572 28.944057 409.08915 0.21649195 0.41485149 0.000636374403578137
1947 1.72656 75.122142 1324.1543 0.079226854 0.21705088 0.00237671935866252
2136 5.2811782 66.671095 1405.0542 0.10409056 0.37385596 0.000732743338787038
2138 2.843871 75.124138 1047.8556 0.079491374 0.22239098 0.00531122534416151
2139 6.4714448 27.46701 358.92212 0.32091226 0.48295087 0.000466182431554561
2140 2.5851257 72.510258 1490.3566 0.073194845 0.30555839 0.00878710344103636
2143 2.7130098 83.221452 1178.3627 0.050901343 0.27567576 0.02685971783152
2328 7.1894706 58.020178 1329.1118 0.13113265 0.31520833 0.000483180008816705
2329 2.6083109 73.556165 937.97883 0.085957346 0.22242137 0.00649236381454185
2330 3.0811151 79.415815 1350.4454 0.066752856 0.29691135 0.020569394155702
