"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
17 23.248807 384.36082 1169.6269 0.29909957 0.039917773 0.000224194348274122
19 16.863686 392.61267 1265.5324 0.27202525 0.049346991 0.000588395140167266
20 16.655142 451.80319 1279.7048 0.24980761 0.050968841 0.000407061317644309
21 14.606556 442.26219 1194.3638 0.2575334 0.066183284 0.00108035371607866
22 11.655564 468.62544 1283.5252 0.23343073 0.074210274 0.128953593656716
23 11.59756 435.12372 1100.0826 0.21170308 0.068390305 0.16762513320925
24 10.272963 403.44979 1101.8387 0.20903159 0.065060062 0.166291146908668
25 9.3220562 451.7155 1136.9142 0.17351647 0.073843316 0.197570483162806
177 23.943778 390.92532 1210.8021 0.29253862 0.037838974 0.000162305568615073
179 17.331001 351.05571 994.09105 0.28778108 0.052314504 0.000550273973850723
180 14.826051 376.66586 1068.8962 0.27671832 0.057290722 0.00100196654142088
181 13.895888 411.33864 1239.4745 0.27891576 0.099888604 0.00472602333198367
182 11.690096 428.81357 1150.3587 0.24862068 0.081867214 0.111419594990387
337 24.906101 444.35893 1202.5314 0.25966651 0.041628285 0.00011516036473086
339 17.767421 336.92489 1197.0563 0.28982829 0.044239344 0.000492832577098776
340 13.90471 460.53266 1189.0775 0.28055612 0.17555168 0.0169901370177752
341 12.656562 425.1341 1283.4574 0.2821674 0.16546737 0.0436026466174437
342 11.792737 376.22055 1310.6413 0.26196049 0.072629901 0.105903773151893
499 17.616439 345.47748 1220.696 0.28305597 0.041608156 0.000367617530198496
500 13.656257 426.44951 1157.8607 0.29090459 0.13570717 0.0449996646558515
501 12.351358 411.545 1224.4015 0.27153427 0.10789325 0.0833996030364342
502 11.511656 427.50349 1171.013 0.23592824 0.074838277 0.119358303172752
660 13.636698 418.80477 1142.3491 0.26941679 0.10327786 0.0540579674286109
661 11.72059 439.19493 1184.0005 0.23795312 0.076105108 0.117261625481436
662 11.106768 426.48867 1141.8417 0.2198034 0.067658965 0.142663009524204
663 11.561843 417.68531 1252.1898 0.21516852 0.062745458 0.157650679616486
820 14.399597 370.36361 950.62007 0.27403667 0.094280275 0.0487440441797641
821 11.831033 436.6405 1203.1917 0.22691677 0.069008422 0.135042608088939
822 10.971173 458.01115 1160.872 0.20655851 0.068940334 0.157574976502917
823 10.981748 402.32708 1240.9917 0.21167073 0.059254386 0.16841542255776
981 11.768311 403.53828 1200.6794 0.23141375 0.060565625 0.149640566046034
982 11.078504 437.20563 1338.3101 0.20913716 0.060941164 0.167105589822841
983 10.818927 430.86764 1273.5703 0.2030104 0.061956678 0.170164281092178
1141 12.206046 429.2404 1145.9185 0.21990473 0.064797619 0.153218633936558
1142 11.062967 426.70947 1226.451 0.21083682 0.062309726 0.169494878862973
1143 10.721358 422.07671 1230.4549 0.20196519 0.063128255 0.169218641283861
1213 1.0307018 316.94334 1043.6425 0.038894263 0.14149739 2.33104803659223
1301 12.642638 418.39843 1161.9858 0.23075588 0.062230767 0.153261309479958
1302 11.237604 434.92639 1171.5127 0.20408219 0.064453047 0.176202421538061
1373 1.020037 349.76916 1090.9707 0.036925635 0.15402894 2.34326321811425
1461 12.527424 430.33874 1182.7402 0.22022649 0.062572266 0.163264645983734
1462 11.367062 416.95188 1216.1246 0.20864188 0.05889278 0.195612445037938
1464 10.032622 416.58067 1213.5415 0.18321475 0.062983631 0.230269532036253
1624 10.186257 420.06223 1244.439 0.17984743 0.062052395 0.250986342945475
1782 10.691065 422.11158 1322.1451 0.19152196 0.056371636 0.274861552715803
1939 13.236891 445.74783 1272.8544 0.22717716 0.061016777 0.17408921520256
1940 12.695255 403.36841 1223.3358 0.22756006 0.058078289 0.227304256792661
1941 12.009884 427.65071 1187.3607 0.2097777 0.064630303 0.248422284275052
1942 7.6676826 392.07882 1175.3987 0.18073013 0.061405066 0.408563215357311
1943 10.439424 423.16497 1271.9408 0.18798749 0.061119251 0.325614659318862
1945 7.6049281 404.93383 1044.1283 0.138095 0.080009419 0.487643083946226
1946 7.4271185 388.61881 1179.9547 0.13387231 0.071896422 0.50095122479955
1947 7.2535751 439.45852 1326.2029 0.11655522 0.074176197 0.541589298157305
2099 12.541656 415.13602 1097.8361 0.22760222 0.059927112 0.207928655933579
2100 12.115965 418.49628 1152.4354 0.21683284 0.059726757 0.256250839152114
2101 12.007191 417.89266 1228.9361 0.21133766 0.06217574 0.274842882717188
2102 9.5632306 400.78712 1272.9576 0.19226136 0.058990074 0.381248259748924
2103 7.4736538 381.6487 1164.4776 0.17509981 0.063560421 0.482395619451503
2104 9.721778 437.35667 1133.3121 0.18078901 0.074577645 0.44450517814716
2105 7.4072591 426.66705 1173.3628 0.12142753 0.074625964 0.49410086082212
2106 7.4987436 402.96304 1198.4262 0.1208364 0.070790152 0.538278080577307
2107 7.1817937 443.02833 1156.0613 0.10940744 0.082123556 0.600854662750282
2111 6.99494 413.53381 1197.1408 0.12098628 0.073936337 0.88780761492071
2112 6.7033483 416.61101 1227.6036 0.11452322 0.075083311 0.924324681770654
2259 12.066508 437.47421 1102.992 0.21289134 0.061625242 0.229607447046415
2260 11.155814 345.10164 987.69038 0.2319819 0.054580062 0.284812794438391
2261 11.10728 434.92494 1130.8484 0.20547743 0.071982795 0.285420106542262
2262 9.3962404 408.05697 1174.1489 0.19199063 0.064628279 0.415336011364214
2263 7.9015634 412.80877 1240.2956 0.16140293 0.061441079 0.497832937800853
2264 9.7326842 417.37841 1180.4012 0.18472412 0.072703849 0.498113872889487
2265 7.018887 450.12469 1076.4735 0.10501382 0.08250523 0.547734056622905
2266 6.7075379 414.5105 1047.6242 0.11100884 0.080600318 0.592430807549681
2267 6.8296377 385.38186 1222.8503 0.11996118 0.068269491 0.641817194918155
2271 7.0077135 435.55305 1173.4225 0.11585039 0.07924793 0.895497343387617
2272 6.5825885 415.62249 1137.8388 0.1125075 0.079720857 0.949926858694514
2418 10.950422 432.45608 1198.9765 0.21402949 0.060987543 0.182305597152377
2419 11.439176 423.77788 1205.1553 0.21239915 0.056470493 0.239042590718683
2420 10.280083 418.74656 1238.2615 0.19569441 0.058191965 0.312416258960512
2421 10.89547 414.24235 1102.7555 0.20884715 0.06854524 0.296097542996477
2422 9.5831705 432.90635 1150.9834 0.18886536 0.069821697 0.420454016583354
2423 7.8176176 425.10368 1298.1281 0.14744651 0.062482301 0.498686273933656
2424 9.0095553 423.7017 1167.0971 0.17507853 0.073541574 0.527082551959034
2425 6.8040341 395.03625 1195.7482 0.11635668 0.069360909 0.526062852531789
2426 6.5454794 428.25833 1220.9586 0.10476666 0.075401923 0.567615180624152
2427 7.0419667 422.21947 1134.2266 0.12124287 0.076133394 0.711486141124734
2431 6.8576063 424.58637 1156.98 0.11509846 0.078649477 0.900039788589551
2432 6.4132545 410.52823 1093.6433 0.11287013 0.081685685 0.961707907061837
2578 10.469057 404.46507 1283.9756 0.22425463 0.052311121 0.225954956737907
2579 9.7605642 417.78254 1262.6738 0.21172614 0.053772074 0.264981517997724
2580 8.3284289 404.28264 1232.3691 0.19203758 0.057803044 0.370798291157878
2581 10.425759 402.97317 1312.4776 0.20984939 0.063025668 0.322749343478343
2582 7.3958303 422.15455 1265.439 0.16677568 0.062598796 0.527167151599521
2583 7.1997833 434.92401 1192.5129 0.13177028 0.07146748 0.497407930386918
2584 7.3315919 418.02059 1227.2332 0.12027531 0.066513233 0.5284376186467
2585 6.6098997 407.73618 1233.3958 0.1121388 0.068652218 0.566787165349133
2586 6.4975224 424.32311 997.89879 0.1052428 0.086886141 0.548346028685571
2587 6.7422628 414.14067 1218.1 0.1204787 0.072649085 0.671075941926828
2588 6.5290815 428.07733 1172.1809 0.1054005 0.08135681 0.647861062655661
2591 6.7546328 423.63074 1131.708 0.1142767 0.080360163 0.924886593376798
2738 14.009287 432.85173 1192.5322 0.2508729 0.065184306 0.177958402144359
2739 10.78408 459.93654 1180.8221 0.19915989 0.062800583 0.234515770604857
2740 8.4546289 435.35177 1287.883 0.18046314 0.060376223 0.359885860327472
2741 6.7818308 429.02907 1235.0647 0.17662762 0.069399117 0.575905639527791
2742 7.2157772 449.5492 1268.1124 0.15414637 0.06772363 0.536752122988549
