Ecosystem type,Site Name,Soil classification,Soil depth,Sampling year,Delta14C bulk SOM,Delta14C Respired CO2,Delta14C DOM,Soil Layer description,Incubation by,plot or rep #,Control/Enriched,Other notes
Temperate deciduous forest,US-Ha1,Inceptisol,Oi,2008,78.9,56.8,NA,last year's litter,Sue Trumbore,1,control,"I don't know which plot the bulk soil 14C value is for, but there is only n=1 for this site"
Temperate deciduous forest,US-Ha1,Inceptisol,Oi,2008,,54.6,NA,last year's litter,Sue Trumbore,2,control,
Temperate deciduous forest,US-Ha1,Inceptisol,Oi,2008,,56.0,NA,last year's litter,Sue Trumbore,3,control,
Temperate deciduous forest,US-Ha1,Inceptisol,O horizon,2008,73.5,65.3,NA,standing O horizon,Sue Trumbore,1,control,"I don't know which plot the bulk soil 14C value is for, but there is only n=1 for this site"
Temperate deciduous forest,US-Ha1,Inceptisol,O horizon,2008,,68.5,NA,standing O horizon,Sue Trumbore,2,control,
Temperate deciduous forest,US-Ha1,Inceptisol,O horizon,2008,,86.8,NA,standing O horizon,Sue Trumbore,3,control,
Temperate deciduous forest,US-Ha1,Inceptisol,0-5 cm,2008,34.7,88.4,NA,mineral soil,Sue Trumbore,average?,control,Bomb peak had not entered 0-5 cm bulk soil yet
Temperate deciduous forest,US-Bar,Spodosol,Oi,2008,62.6,67.1,NA,last year's litter,Sue Trumbore,average?,control,
Temperate deciduous forest,US-Bar,Spodosol,O horizon,2008,90.0,97.4,NA,standing O horizon,Sue Trumbore,1,control,"I don't know which plot the bulk soil 14C values are for, but there is only n=2 for this site"
Temperate deciduous forest,US-Bar,Spodosol,O horizon,2008,,101.8,NA,standing O horizon,Sue Trumbore,2,control,
Temperate deciduous forest,US-Bar,Spodosol,O horizon,2008,,104.7,NA,standing O horizon,Sue Trumbore,3,control,
Temperate deciduous forest,US-Bar,Spodosol,0-5 cm,2008,7.3,83.0,NA,mineral soil,Sue Trumbore,average?,control,Bomb peak had not entered 0-5 cm bulk soil yet
Temperate deciduous forest,US-UMB,Spodosol,Litterfall,2008,47.0,49.2,NA,this year's litter,Sue Trumbore,G3,control,
Temperate deciduous forest,US-UMB,Spodosol,Oi,2008,73.1,63.7,NA,last year's litter,Sue Trumbore,G3,control,
Temperate deciduous forest,US-UMB,Spodosol,O horizon,2008,86.4,73.6,NA,standing O horizon,Sue Trumbore,G3,control,
Temperate deciduous forest,US-UMB,Spodosol,0-5 cm,2008,54.8,93.3,NA,mineral soil,Sue Trumbore,G3,control,
Temperate deciduous forest,US-UMB,Spodosol,Litterfall,2008,60.0,58.8,NA,this year's litter,Sue Trumbore,O2,control,
Temperate deciduous forest,US-UMB,Spodosol,Oi,2008,NA,85.8,NA,last year's litter,Sue Trumbore,O2,control,O horizon discontinuous at site because of earthworms!
Temperate deciduous forest,US-UMB,Spodosol,O horizon,2008,NA,79.7,NA,standing O horizon,Sue Trumbore,O2,control,O horizon discontinuous at site because of earthworms!
Temperate deciduous forest,US-UMB,Spodosol,0-5 cm,2008,79.3,80.4,NA,mineral soil,Sue Trumbore,O2,control,
Temperate deciduous forest,US-UMB,Spodosol,Litterfall,2008,51.1,62.8,NA,this year's litter,Sue Trumbore,D4,control,
Temperate deciduous forest,US-UMB,Spodosol,Oi,2008,80.6,72.2,NA,last year's litter,Sue Trumbore,D4,control,
Temperate deciduous forest,US-UMB,Spodosol,O horizon,2008,115.8,91.9,NA,standing O horizon,Sue Trumbore,D4,control,
Temperate deciduous forest,US-UMB,Spodosol,0-5 cm,2008,48.0,92.7,NA,mineral soil,Sue Trumbore,D4,control,
Temperate deciduous forest,US-Moz,Alfisol,Litterfall,2008,53.8,52.7,NA,this year's litter,Sue Trumbore,1,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,0-5 cm,2008,113.7,77.1,NA,mineral soil,Sue Trumbore,1,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,Litterfall,2008,59.1,53.5,NA,this year's litter,Sue Trumbore,2,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,0-5 cm,2008,117.3,93.4,NA,mineral soil,Sue Trumbore,2,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,Litterfall,2008,42.3,50.4,NA,this year's litter,Sue Trumbore,3,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,0-5 cm,2008,114.8,78.8,NA,mineral soil,Sue Trumbore,3,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,Litterfall,2008,57.2,51.7,NA,this year's litter,Sue Trumbore,4,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-Moz,Alfisol,0-5 cm,2008,108.4,86.9,NA,mineral soil,Sue Trumbore,4,control,No standing O horizon at site because of earthworms!
Temperate deciduous forest,US-WCr,Spodosol,0-5 cm,2012,61.1,73.1,NA,mineral soil,Karis McFarlane,2,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,5-10 cm,2012,44.0,77.3,NA,mineral soil,Karis McFarlane,2,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,10-15 cm,2012,68.3,43.1,NA,mineral soil,Karis McFarlane,2,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,41.5-45.5 cm,2012,17.1,-165.1,NA,mineral soil,Karis McFarlane,2,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
Temperate deciduous forest,US-WCr,Spodosol,0-5 cm,2012,108.9,75.7,NA,mineral soil,Karis McFarlane,3,NA,"Phillips, C.L., K.J. McFarlane, D. Risk, and A.R. Desai, Biological and Physical Influences on Soil 14co2 Seasonal Dynamics in a Temperate Hardwood Forest. Biogeosciences, 2013. 10: p. 7999-8012."
